Institution,Subject,Name,Type,Number,Section,Instructor,Date
Amherst,AMST,Transnational American,,130,1,Jallicia Jolly,TTH 01:00PM-02:20PM
Amherst,AMST,Asian American Experience,,204,1,Pawan Dhingra,TTH 08:30AM-09:50AM
Amherst,AMST,The Embodied Self,,215,1,Wendy Bergoffen,MWF 11:00AM-11:50AM
Amherst,AMST,The Embodied Self,,215,2,Francis Couvares,MWF 11:00AM-11:50AM
Amherst,AMST,The Sanctuary Movement,,234,1,Lloyd Barba,MW 02:00PM-03:20PM
Amherst,AMST,Relig Traditions America,,246,1,Lloyd Barba,TTH 11:30AM-12:50PM
Amherst,AMST,Exploring Ed. Studies,,251,1,Kristen Luschen,TTH 02:30PM-03:50PM
Amherst,AMST,Native American Studies,,273,1,Ashley Smith,MW 08:30AM-09:50AM
Amherst,AMST,Model Minorities,,345,1,"Wendy Bergoffen, Franklin Odo",M 02:00PM-04:45PM
Amherst,AMST,Politics of Education,,352,1,"Hilary Moss, Kristen Luschen",W 02:00PM-04:45PM
Amherst,AMST,Indigenous Feminisms,,370,1,Jennifer Hamilton,TTH 10:00AM-11:20AM
Amherst,AMST,Asian American History,,372,1,Franklin Odo,W 02:00PM-04:45PM
Amherst,AMST,US Third World Feminists,,380,1,Lili Kim,TTH 10:00AM-11:20AM
Amherst,AMST,Resrch Methods: Amer Cul,,468,1,Robert Hayashi,T 02:30PM-05:15PM
Amherst,AMST,Special Topics,,490,1,The Department,M 12:00PM-12:50PM
Amherst,ANTH,Sociocultural Anthro.,,112,1,Deborah Gewertz,TTH 01:00PM-02:20PM
Amherst,ANTH,Building a Better World,,117,1,Vanessa Fong,TTH 10:00AM-11:20AM
Amherst,ANTH,Anthro & Science Fiction,,201,1,Vanessa Fong,MW 12:30PM-01:50PM
Amherst,ANTH,Feminist Science Studies,,211,1,Jennifer Hamilton,MW 08:30AM-09:50AM
Amherst,ANTH,Medical Anthropology,,245,1,Christopher Dole,TTH 02:30PM-03:50PM
Amherst,ANTH,The Middle East,,265,1,Christopher Dole,TTH 01:00PM-02:20PM
Amherst,ANTH,The Anthropology of Food,,339,1,Deborah Gewertz,W 02:00PM-04:45PM
