Institution,Subject,Name,Type,Number,Section,Instructor,Date
Smith,AFR,INTRODUCTION TO BLACK CULTURE,Lect,111,1,,MW 02:45-04:00
Smith,AFR,TOPICS- BLACK ARCHIVE,Lect,202,1,,TTh 01:20-02:35
Smith,AFR,BLACK WOMEN WRITERS,Lect,249,1,,WF 01:20-02:35
Smith,AFR,RACE & IDENTITY IN GLOBAL CITY,Lect,254,1,,WF 01:20-02:35
Smith,AFR,SEM: TONI MORRISON,Semi,360,1,,T 01:20-04:00
Smith,AFS,THEMES IN AFRICAN STUDIES,Lect,113,1,Jeffrey Ahlman,T 07:30-09:30
Smith,AMS,METHODS IN AMERICAN STUDIES,Lect,202,1,Kevin Rozario,TTh 10:50-12:05
Smith,AMS,AMERICAN POPULAR CULTURE,Lect,235,1,Steve Waksman,MW 02:45-04:00
Smith,AMS,CAPSTONE: CULTURE IN CRISIS,Semi,340,1,Kevin Rozario,T 01:20-04:00
Smith,AMS,"WRITNG/AMER SOC-JOURNLSM, FEMI",Semi,351,1,Susan Faludi,T 01:20-04:00
Smith,ANT,INTRO CULTURAL ANTHROPOLOGY,Lect,130,1,Pinky Hota,TTh 10:50-12:05
Smith,ANT,INTRO CULTURAL ANTHROPOLOGY,Lect,130,3,Caroline Melly,MW 10:50-12:05
Smith,ANT,INTRODUCTION TO ARCHAEOLOGY,Lect,135,1,Elizabeth Klarich,TTh 02:45-04:00
Smith,ANT,RESEARCH METHODS,Coll,200,1,Suzanne Gottschang,MWF 01:20-02:35
Smith,ANT,ANTHROPOS IN THE ANTHROPOCENE,Lect,224,1,Colin Hoag,TTh 09:25-10:40
Smith,ANT,ARCHAEOLOGY OF FOOD,Lect,226,1,Elizabeth Klarich,TTh 10:50-12:05
Smith,ANT,THE ANTHROPOLOGY OF RELIGION,Lect,274,1,Pinky Hota,TTh 01:20-02:35
Smith,ANT,ETHNOGRAPHIC DESIGN,Lect,300,1,Suzanne Gottschang,WF 01:20-02:35
Smith,ANT,SEM: DISABILITY & DIFFERENCE,Semi,353,1,Caroline Melly,T 09:25-12:05
Smith,ARA,ELEMENTARY ARABIC I,Lect,100,1,John Weinert,MWF 09:25-10:40
Smith,ARA,ELEMENTARY ARABIC I,Lect,100,2,John Weinert,MWF 02:45-04:00
Smith,ARA,INTERMEDIATE ARABIC I,Lect,200,1,John Weinert,MWF 10:50-12:05
Smith,ARA,ADVANCED ARABIC I,Lect,300,1,May George,MWF 01:20-02:35
Smith,ARC,INTRODUCTION TO ARCHAEOLOGY,Lect,135,1,Elizabeth Klarich,TTh 02:45-04:00
Smith,ARH,ART AND ITS HISTORIES,Lect,110,1,Brigitte Buettner,MW 02:45-04:00
Smith,ARH,ART AND ITS HISTORIES,Lect,110,2,Frazer Ward,TTh 09:25-10:40
Smith,ARH,BRAZILIAN ART INSIDE AND OUT,Lect,201,1,Marguerite Harrison,MW 01:20-02:35
Smith,ARH,ANCIENT CITIES & SANCTUARIES,Lect,212,1,Barbara Kellum,TTh 02:45-04:00
Smith,ARH,GREEK ART & ARCHAEOLOGY,Lect,217,1,Rebecca Worsham,MW 10:50-12:05
Smith,ARH,RACE & GENDER:HIST/PHOTOGRAPHY,Lect,278,1,Kathleen Pierce,TTh 10:50-12:05
Smith,ARH,MODERN/POSTMODERN/CONTEMPORARY,Lect,281,1,Frazer Ward,MW 09:25-10:40
Smith,ARH,ART & MEDICINE,Lect,289,1,Kathleen Pierce,TTh 01:20-02:35
Smith,ARH,SEM:GOTHIC IN MODRN IMAGINATN,Semi,352,1,Brigitte Buettner,T 01:20-04:00
Smith,ARS,INTRO TO DIGITAL MEDIA,Stud,162,1,Lucretia Knapp,TTh 07:00-09:40
Smith,ARS,DRAWING I,Stud,163,1,Alexis Callender,MW 09:25-12:05
Smith,ARS,DRAWING I,Stud,163,3,Katherine Schneider,TTh 01:20-04:00
Smith,ARS,STUDIO ART FOUNDATIONS,Stud,172,1,A. Lee Burns,MW 01:20-04:00
Smith,ARS,STUDIO ART FOUNDATIONS,Stud,172,2,Amanda Wallace,TTh 09:25-12:05
