Institution,Subject,Name,Type,Number,Section,Instructor,Date
UMass,ACCOUNTG,Hnr Indstu In Acctg,IND,196ISH,1,,
UMass,ACCOUNTG,Principles/Financial Accountg,LEC,221,1,Kerri Herzig,TU TH 2:30PM 3:45PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LL,,W 9:05AM 9:55AM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LM,,W 10:10AM 11:00AM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LN,,W 11:15AM 12:05PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LQ,,W 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LR,,W 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LS,,W 1:25PM 2:15PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LU,,W 1:25PM 2:15PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LV,,W 2:30PM 3:20PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LW,,W 5:30PM 6:20PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LX,,W 5:30PM 6:20PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01LZ,,F 10:10AM 11:00AM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01ML,,F 10:10AM 11:00AM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MM,,F 10:10AM 11:00AM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MN,,F 10:10AM 11:00AM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MQ,,F 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MR,,F 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MS,,F 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MU,,F 1:25PM 2:15PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MV,,F 1:25PM 2:15PM
UMass,ACCOUNTG,Principles/Financial Accountg,LAB,221,01MW,,F 1:25PM 2:15PM
UMass,ACCOUNTG,Principles/Financial Accountg,LEC,221,2,Silvia Triani,M W F 10:10AM 11:00AM
UMass,ACCOUNTG,Principles/Financial Accountg,LEC,221,3,Yushi Tian,M W F 11:15AM 12:05PM
UMass,ACCOUNTG,Principles/Financial Accountg,LEC,221,4,Richard Asebrook,M W 2:30PM 3:45PM
UMass,ACCOUNTG,Principles/ManagerialAccountng,LAB,222,01LN,,M W F 11:15AM 12:05PM
UMass,ACCOUNTG,Principles/ManagerialAccountng,LAB,222,01LQ,,M W F 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/ManagerialAccountng,LAB,222,01LR,,M W F 12:20PM 1:10PM
UMass,ACCOUNTG,Principles/ManagerialAccountng,LAB,222,01LS,,M W F 1:25PM 2:15PM
UMass,ACCOUNTG,Principles/ManagerialAccountng,LAB,222,01LU,,M W F 1:25PM 2:15PM
UMass,ACCOUNTG,Hnr Indstu In Acctg,IND,296ISH,1,Pamela Trafford,1:00AM 1:00AM
UMass,ACCOUNTG,Acctng Info Systems,LEC,311,1,Graham Gal,TU TH 11:30AM 12:45PM
UMass,ACCOUNTG,Acctng Info Systems,LEC,311,2,Graham Gal,TU TH 2:30PM 3:45PM
UMass,ACCOUNTG,Intermed Financial Acctg I,LEC,321,1,Jeremiah Bentley,TU TH 10:00AM 11:15AM
UMass,ACCOUNTG,Intermed Financial Acctg I,LEC,321,2,Jeremiah Bentley,TU TH 11:30AM 12:45PM
UMass,ACCOUNTG,Intermed Financial Acctng II,LEC,322,1,Melvin Piercey,TU TH 10:00AM 11:15AM
UMass,ACCOUNTG,Intermed Financial Acctng II,LEC,322,2,William Mitchell,TU TH 1:00PM 2:15PM
UMass,ACCOUNTG,Cost Acctg,LEC,331,1,Orhan Akisik,M W 2:30PM 3:45PM
UMass,ACCOUNTG,Cost Acctg,LEC,331,2,Orhan Akisik,M W 4:00PM 5:15PM
UMass,ACCOUNTG,Cost Acctg,LEC,331,3,Christopher Agoglia,TU TH 2:30PM 3:45PM
UMass,ACCOUNTG,Individual Taxation,LEC,371,1,Sean Wandrei,M W F 9:05AM 9:55AM
UMass,ACCOUNTG,Individual Taxation,LEC,371,2,Sean Wandrei,M W F 10:10AM 11:00AM
UMass,ACCOUNTG,Independent Study,IND,396,1,,
UMass,ACCOUNTG,Hnr Indstu In Acctg,IND,396ISH,1,,
UMass,ACCOUNTG,Advanced Financial Accounting,LEC,423,1,Pamela Trafford,TU TH 8:30AM 9:45AM
UMass,ACCOUNTG,Advanced Financial Accounting,LEC,423,2,Pamela Trafford,TU TH 10:00AM 11:15AM
UMass,ACCOUNTG,Advanced Financial Accounting,LEC,423,3,Yoon Ju Kang,TU TH 2:30PM 3:45PM
UMass,ACCOUNTG,Auditing,LEC,441,1,Wei Zhang,TU TH 10:00AM 11:15AM
UMass,ACCOUNTG,Auditing,LEC,441,2,Wei Zhang,TU TH 11:30AM 12:45PM
UMass,ACCOUNTG,Auditing,LEC,441,3,Wei Zhang,TU TH 1:00PM 2:15PM
UMass,ACCOUNTG,Corporate Taxation,LEC,472,1,Jennifer Roy,M W F 12:20PM 1:10PM
UMass,ACCOUNTG,Corporate Taxation,LEC,472,2,Jennifer Roy,M W F 1:25PM 2:15PM
UMass,ACCOUNTG,International Accounting,LEC,482,1,Elaine Wang,TU TH 11:30AM 12:45PM
UMass,ACCOUNTG,International Accounting,LEC,482,2,Elaine Wang,TU TH 1:00PM 2:15PM
UMass,ACCOUNTG,CPA Law,LEC,483,1,Frank Caruso,TU 6:30PM 9:00PM
UMass,ACCOUNTG,CPA Law,LEC,483,2,Frank Caruso,W 6:30PM 9:00PM
UMass,ACCOUNTG,Independent Study,IND,496,1,,
UMass,ACCOUNTG,Hnr Indstu In Acctg,IND,496ISH,1,,1:00AM 1:00AM
UMass,ACCOUNTG,Honors Project,IND,499P,1,,1:00AM 1:00AM
UMass,ACCOUNTG,Honors Thesis,IND,499T,1,,1:00AM 1:00AM
UMass,ACCOUNTG,Honors Research,IND,499Y,1,,1:00AM 1:00AM
